start_date,end_date,category,start,stop,miles,purpose,reject_reason
7/22/2016 15:49,7/22/2016 16:22,Business,Morrisville,Cary,12.2,,Missing required fields
7/22/2016 18:33,7/22/2016 18:51,Business,Wayne Ridge,Whitebridge,8.0,,Missing required fields
7/23/2016 14:27,7/23/2016 14:44,Business,Cary,Morrisville,4.0,,Missing required fields
7/23/2016 14:48,7/23/2016 15:12,Business,Morrisville,Cary,9.5,,Missing required fields
7/23/2016 15:15,7/23/2016 15:27,Business,Cary,Morrisville,3.0,,Missing required fields
7/23/2016 15:50,7/23/2016 16:10,Business,Morrisville,Cary,6.3,,Missing required fields
7/25/2016 10:35,7/25/2016 10:41,Business,Whitebridge,Parkway,1.5,,Missing required fields
7/25/2016 10:47,7/25/2016 10:58,Business,Cary,Morrisville,4.9,,Missing required fields
7/25/2016 11:04,7/25/2016 11:33,Business,Morrisville,Cary,7.9,,Missing required fields
7/25/2016 11:37,7/25/2016 11:44,Business,Parkway,Whitebridge,1.7,,Missing required fields
7/26/2016 15:43,7/26/2016 15:49,Business,Whitebridge,Westpark Place,2.2,,Missing required fields
7/26/2016 17:14,7/26/2016 17:24,Business,Westpark Place,Whitebridge,2.1,,Missing required fields
7/27/2016 19:08,7/27/2016 19:20,Business,Cary,Morrisville,2.8,,Missing required fields
7/27/2016 21:34,7/27/2016 21:57,Business,Morrisville,Raleigh,14.7,,Missing required fields
7/27/2016 22:00,7/27/2016 22:26,Business,Raleigh,Morrisville,14.6,,Missing required fields
7/28/2016 0:04,7/28/2016 0:09,Business,Morrisville,Cary,2.3,,Missing required fields
7/29/2016 15:45,7/29/2016 15:47,Business,Whitebridge,Westpark Place,2.2,,Missing required fields
7/30/2016 17:02,7/30/2016 17:27,Business,Cary,Durham,14.0,,Missing required fields
7/30/2016 21:16,7/30/2016 21:41,Business,Durham,Cary,13.3,,Missing required fields
7/31/2016 17:30,7/31/2016 17:37,Business,Westpark Place,Whitebridge,1.8,,Missing required fields
08-01-2016 12:47,08-01-2016 13:04,Business,Whitebridge,Arlington Park at Amberly,6.2,,Missing required fields
08-01-2016 13:08,08-01-2016 13:19,Business,Arlington Park at Amberly,Lexington Park at Amberly,1.3,,Missing required fields
08-01-2016 13:28,08-01-2016 13:46,Business,Lexington Park at Amberly,Westpark Place,1.9,,Missing required fields
08-01-2016 13:52,08-01-2016 14:14,Business,Cary,Apex,6.9,,Missing required fields
08-01-2016 15:40,08-01-2016 15:47,Business,Apex,Cary,4.6,,Missing required fields
08-01-2016 16:18,08-01-2016 16:25,Business,Whitebridge,Edgehill Farms,2.8,,Missing required fields
08-01-2016 16:29,08-01-2016 16:59,Business,Cary,Morrisville,9.1,,Missing required fields
08-01-2016 17:23,08-01-2016 17:55,Business,Morrisville,Cary,8.1,,Missing required fields
08-02-2016 11:51,08-02-2016 12:15,Business,Arlington,Washington,4.9,,Missing required fields
08-02-2016 19:15,08-02-2016 19:23,Business,Kalorama Triangle,K Street,1.0,,Missing required fields
08-02-2016 21:23,08-02-2016 21:29,Business,K Street,Kalorama Triangle,1.0,,Missing required fields
08-03-2016 12:46,08-03-2016 13:00,Business,West End,Northwest Rectangle,2.0,,Missing required fields
08-03-2016 14:59,08-03-2016 15:03,Business,K Street,Kalorama Triangle,1.1,,Missing required fields
08-03-2016 16:00,08-03-2016 16:04,Business,Kalorama Triangle,Downtown,1.5,,Missing required fields
08-05-2016 17:23,08-05-2016 17:30,Business,Connecticut Avenue,Kalorama Triangle,1.3,,Missing required fields
08-05-2016 18:17,08-05-2016 18:21,Business,Kalorama Triangle,Columbia Heights,1.8,,Missing required fields
08-05-2016 19:17,08-05-2016 19:27,Business,Columbia Heights,Kalorama Triangle,1.5,,Missing required fields
08-06-2016 06:40,08-06-2016 06:58,Business,Washington,Arlington,6.6,,Missing required fields
08-06-2016 09:31,08-06-2016 09:53,Business,Morrisville,Cary,8.0,,Missing required fields
08-07-2016 17:14,08-07-2016 17:23,Business,Whitebridge,Edgehill Farms,2.7,,Missing required fields
08-07-2016 18:17,08-07-2016 18:23,Business,Cary,Morrisville,2.5,,Missing required fields
08-08-2016 16:17,08-08-2016 16:31,Business,Whitebridge,Farmington Woods,5.2,,Missing required fields
08-08-2016 16:37,08-08-2016 16:50,Business,Farmington Woods,Edgehill Farms,4.0,,Missing required fields
08-08-2016 21:50,08-08-2016 22:15,Business,Cary,Morrisville,4.8,,Missing required fields
08-09-2016 14:20,08-09-2016 14:38,Business,Whitebridge,Waverly Place,6.9,,Missing required fields
08-09-2016 15:15,08-09-2016 15:36,Business,Cary,Raleigh,14.9,,Missing required fields
08-09-2016 16:04,08-09-2016 16:37,Business,Raleigh,Cary,17.4,,Missing required fields
08-10-2016 16:56,08-10-2016 17:24,Business,Cary,Durham,12.9,,Missing required fields
08-10-2016 17:53,08-10-2016 18:28,Business,Durham,Apex,15.3,,Missing required fields
08-10-2016 18:49,08-10-2016 18:50,Business,Apex,Apex,1.0,,Missing required fields
08-10-2016 19:47,08-10-2016 20:02,Business,Apex,Cary,6.0,,Missing required fields
08-11-2016 12:53,08-11-2016 13:00,Business,Whitebridge,Heritage Pines,2.2,,Missing required fields
08-11-2016 13:14,08-11-2016 13:28,Business,Heritage Pines,Edgehill Farms,4.4,,Missing required fields
08-11-2016 13:32,08-11-2016 13:42,Business,Edgehill Farms,Whitebridge,2.8,,Missing required fields
08-11-2016 18:37,08-11-2016 19:29,Business,Cary,Wake Forest,31.7,,Missing required fields
08-11-2016 20:59,08-11-2016 21:44,Business,Wake Forest,Cary,31.9,,Missing required fields
08-12-2016 18:49,08-12-2016 18:52,Business,Whitebridge,Westpark Place,1.9,,Missing required fields
